timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
34901000,1310996,1310988,1310996,1311004,0,0.0034056187,0.0024454813,0.00506304,0.0,1310996,1310988,1310996,1311004,0,0.00030575017,0.00012259952,0.0004073941,0.0,1,1,1,0,1,1,1,0
35101000,1310996,1310988,1310996,1311004,0,0.0012886632,0.0017562262,0.00071558164,0.0,1310996,1310988,1310996,1311004,0,0.00032070628,0.0001881649,0.00013914106,0.0,1,1,1,0,1,1,1,0
35305000,1310996,1310988,1310996,1311004,0,0.0017861793,0.0020223304,0.0034574769,0.0,1310996,1310988,1310996,1311004,0,0.00014795079,0.00025722932,0.00011289437,0.0,1,1,1,0,1,1,1,0
35505000,1310996,1310988,1310996,1311004,0,0.0074788677,0.0042208484,0.004541555,0.0,1310996,1310988,1310996,1311004,0,0.00071587,0.00043489315,0.0004959062,0.0,1,1,1,0,1,1,1,0
35702000,1310996,1310988,1310996,1311004,0,0.00873291,0.0028462752,0.007102307,0.0,1310996,1310988,1310996,1311004,0,0.00075366086,0.00044173258,0.0004070508,0.0,1,1,1,0,1,1,1,0
35898000,1310996,1310988,1310996,1311004,0,0.007600879,0.0037589532,0.006013696,0.0,1310996,1310988,1310996,1311004,0,0.00048014332,0.0004557241,0.00039481153,0.0,1,1,1,0,1,1,1,0
36098000,1310996,1310988,1310996,1311004,0,0.004529955,0.0020519642,0.0056157755,0.0,1310996,1310988,1310996,1311004,0,0.00037798306,0.00023674422,0.0004299826,0.0,1,1,1,0,1,1,1,0
36298000,1310996,1310988,1310996,1311004,0,0.0024985252,0.0018404517,0.001006482,0.0,1310996,1310988,1310996,1311004,0,0.00043479374,0.00024496674,0.00027856117,0.0,1,1,1,0,1,1,1,0
36500000,1310996,1310988,1310996,1311004,0,0.0062957634,0.003344562,0.008770806,0.0,1310996,1310988,1310996,1311004,0,0.00046807565,0.0003848757,0.00016504565,0.0,1,1,1,0,1,1,1,0
36700000,1310996,1310988,1310996,1311004,0,0.0047677653,0.0012040343,0.0036054812,0.0,1310996,1310988,1310996,1311004,0,0.00086805306,0.00040313607,0.00051661534,0.0,1,1,1,0,1,1,1,0
36900000,1310996,1310988,1310996,1311004,0,0.0069881105,0.0030005549,0.0052966187,0.0,1310996,1310988,1310996,1311004,0,0.00038372562,0.00012274554,0.00027044566,0.0,1,1,1,0,1,1,1,0
37104000,1310996,1310988,1310996,1311004,0,0.0040896772,0.0034112139,0.003132162,0.0,1310996,1310988,1310996,1311004,0,0.0005883605,0.0002762065,0.0006050731,0.0,1,1,1,0,1,1,1,0
37300000,1310996,1310988,1310996,1311004,0,0.0045579723,0.0031556473,0.005452212,0.0,1310996,1310988,1310996,1311004,0,0.0004545007,5.862704e-05,0.00039675809,0.0,1,1,1,0,1,1,1,0
37505000,1310996,1310988,1310996,1311004,0,0.0035244543,0.002996326,0.0049427794,0.0,1310996,1310988,1310996,1311004,0,0.0006662202,0.00048802394,0.00020712061,0.0,1,1,1,0,1,1,1,0
37705000,1310996,1310988,1310996,1311004,0,0.007267206,0.0026260093,0.005696924,0.0,1310996,1310988,1310996,1311004,0,0.00090317166,0.00045842002,0.00051592407,0.0,1,1,1,0,1,1,1,0
37904000,1310996,1310988,1310996,1311004,0,0.004650454,0.0013316061,0.003968825,0.0,1310996,1310988,1310996,1311004,0,0.00044355498,0.00030217925,0.00039897612,0.0,1,1,1,0,1,1,1,0
38105000,1310996,1310988,1310996,1311004,0,0.006832286,0.002530625,0.007805359,0.0,1310996,1310988,1310996,1311004,0,0.00074126496,0.00060930505,0.0002165741,0.0,1,1,1,0,1,1,1,0
38301000,1310996,1310988,1310996,1311004,0,0.003558184,0.005033163,0.002345152,0.0,1310996,1310988,1310996,1311004,0,0.0007418122,0.0004272994,0.00032844604,0.0,1,1,1,0,1,1,1,0
